,11,NC_026589,KX648391,11,8,NC_023738,MH001449,3,KY798216,9,2,NC_023609,NC_023703,5,NC_021533,NC_026597,NC_026591,NC_004683,42,MH230879,2,14,9,16,NC_028796,NC_023697,2,NC_023572,NC_031266,MG099936,NC_023729,NC_031243,MG099948,NC_031281,MK524509,3,6,KU935729,MH926055,9,NC_031080,116,2,MH834613,MG757156,5,2,10,40,NC_022054,MK279840,3,2,NC_023604,KR080202,3,MK279909,NC_004689,NC_011039,5,9,7,15,NC_024209,13,MH509442,8,6,MF324915,3,5,MF324911,5,3,MF140416,36,MH744423,2,11,18,75,6,8,2,6,MH651187,MH077585,NC_026588,2,JF937102,NC_026585,4,MG925354,2,KY385384,MH051257,103,7,MG009575,3,5,MH632120,175,NC_021334,NC_031253,2,NC_021324,20,JF937105,122,24,7,MF141539,KP273225,2,2,7,10,MF472895,6,82,NC_023564,KX657793,MK524530,MH513984,MK468591,14,KR080193,10,24,4,5,4,MF472893,5,MH509441,NC_023607,MF324899,2,6,10,4,19
11,0.0,3.1341819876186787,3.4148338036210917,4.191215451491153,3.9268507377347333,3.358942813966684,3.1798021841619266,4.0006757264899155,3.0281761446241107,3.873770812050122,3.0691293870872673,3.02051909549776,3.1581583714742094,3.7114438218077797,3.315541267410524,3.785983280358934,3.649005127537196,4.027621721710774,6.83324778597829,5.035174936902722,5.275830427541486,5.628844803936933,5.378837711375547,5.551436445135588,4.558688372785344,4.8404498581973465,5.162172776602368,4.993098667322584,5.081671919692349,5.185012794038237,5.198290658144438,5.266452991700405,5.266452991700405,5.324884869549689,5.465935229346043,5.605308220298708,5.714735376668537,5.587801448526525,5.608149429102998,5.793008412439058,7.556437596491691,10.135032820919868,5.357595924737052,5.30785246030311,5.30785246030311,6.743954954947876,7.3853706807920725,7.504934103308372,9.244722837356992,6.2101862129725465,6.2101862129725465,6.3663589602034,7.229165705753712,7.273880097147199,7.308414950424505,7.344834175204564,6.742628615885534,6.742628615885534,6.852069073399956,7.0207745368511345,8.104097970693749,8.11047839647694,8.393848893688315,7.338371977813258,7.951485494164941,9.521441939523612,10.195909575145784,10.313747361740054,10.359284274734001,10.39339475390895,10.467121427048582,10.39287801109513,10.471306290299525,10.546631624254314,10.71937678467868,11.23105919697373,8.394295028716435,8.676238745831233,8.795152001022137,9.177152100007573,11.74140239266464,8.851284551382319,10.059930143983058,9.995570581488732,11.094338761641199,11.619407236173704,11.619407236173704,12.562182624990491,12.651617357828346,12.979732177511828,13.118096262769836,13.123735366111294,13.346971539080249,13.386851191286985,13.18441515933479,13.164933886470655,13.749170337464871,9.107895761565734,7.05156503893283,7.4627897157368555,9.964539201499516,10.739933858303095,17.094153106681713,9.85100359349812,9.98535455784081,8.970623093934714,10.632637450503395,11.607560912393986,9.431147816406446,16.072061040395305,13.633592355362739,13.303342934986576,13.619052985565208,13.913175826361998,13.929917812656562,14.2477983503628,14.39204594711861,14.48458285487112,14.204740370171807,14.515949528359576,15.889963745798646,14.1090061972826,14.146464075958804,14.153992016438444,14.153992016438444,14.26982688258947,14.45379983966426,14.136652478560533,14.450303649649284,14.814133173403055,14.487011500491041,14.56985420874046,14.531414921074944,14.499758026627784,14.543811218186871,14.494196585070117,14.503837107234984,14.608348432181968,14.718786249458606,14.730360517953642,14.802354091216769,14.768928364927117,14.855039498892221
NC_026589,3.1341819876186787,0.0,1.4985945071373066,3.2327592948429333,2.802000242517243,1.4539286291049682,1.3486651861572487,3.864793718292812,1.4788463809222723,3.2854970114069113,1.829204651457388,2.003092229588618,2.4483189147077673,3.281188814847104,2.7959046749789884,3.587364685309371,3.37753583836821,3.9341661579178706,7.059988486572121,5.188678713384103,5.446937267560242,5.8177403699777495,5.507299292720599,5.690030112681909,4.62931985504607,4.973091402208416,5.345462459508141,5.1495155004014554,5.249013178363282,5.363244445531067,5.3778058316496855,5.452115785712059,5.452115785712059,5.5154247514545185,5.66662996450805,5.814123473462815,5.928070726603811,5.7958536010753825,5.817284234808808,6.009910196976671,7.950066590862163,10.615030560536363,3.3660404263935497,3.2862932744811384,3.2862932744811384,5.301633166602734,6.096725603181181,6.241025066643612,8.251743628558406,4.603562340219851,4.603562340219851,4.812158460895179,5.906537156399113,5.961184685121838,6.003277094478837,6.047559001586709,5.2999433589452565,5.2999433589452565,5.43849332056004,5.649568605817542,6.950019379664584,6.957457329485075,7.285810517522989,6.039707855167387,6.771445652067437,8.56062015037941,9.30499576493977,9.433969257315017,9.483731773362953,9.52097814420419,9.601406454118358,9.520413221512415,9.60596833515042,9.68802438408885,9.875798366857065,10.428953249657862,7.286327523264856,7.609432352044362,7.744744074012846,8.175970392177502,10.97665294039702,7.808433017832739,9.155793957853492,9.08503226426721,10.281571733404064,10.846058748692778,10.846058748692778,11.850519584093249,11.945284008636966,12.292267114757134,12.438281036639983,12.444227784596666,12.679432519382537,12.721405845108663,12.508204876889511,12.487668378748133,13.102139479052788,8.098154967292201,5.6877862843625975,6.190284004378121,9.050878927935479,9.898107349377547,16.578191385930698,8.925729755473855,9.073791801494197,7.9434530697154875,9.781580918137196,10.833367406766474,8.460077678089055,15.522161502096825,12.98080094045538,12.63350028423078,12.965530721814902,13.274141167605087,13.291688486955447,13.624467630016918,13.77524447624763,13.871896431219556,13.579433110579025,13.904645271526181,15.333535724874395,13.479259008087995,13.518462427632969,13.526339688373529,13.526339688373529,13.6475018883848,13.839750644862312,13.508194034545776,13.836099669940111,14.21565703629988,13.874432257627937,13.960910031948252,13.92079012745368,13.887741148877891,13.933729628634534,13.881934913499148,13.892000665495248,14.00107924634811,14.116268801720336,14.128336662833606,14.203382050439101,14.168543336149762,14.258281001248957
KX648391,3.4148338036210917,1.4985945071373066,0.0,3.4104243282792357,2.9565921556596075,1.4074330295888335,1.4988140306291915,4.470454860437902,1.8579919175778363,3.7191913615064314,2.2787739196888213,2.5445709521034288,3.0299352549633762,3.81754416367706,3.393762545323405,4.202902545302683,3.9899326034737967,4.553428232111757,7.588845756649626,5.801581129814692,6.047711495722862,6.400099219315697,6.079221633374654,6.2534065251793916,5.25145314373318,5.594312713874189,5.961374811156572,5.767528056063139,5.864300906045167,5.974868579217924,5.988932034145453,6.060577342817531,6.060577342817531,6.121537298468772,6.266732568049182,6.4079188663943185,6.516357657770704,6.390538127681204,6.411031767403575,6.594595785580112,8.534642089356593,11.170594667338456,2.882412979677932,2.788873197446709,2.788873197446709,5.008525067762557,5.843633755704457,5.994028989741742,8.066551754101729,4.2627218842410075,4.2627218842410075,4.487189172377414,5.644922388097368,5.702079446772047,5.746070791514923,5.792318378210986,5.0067343058785685,5.0067343058785685,5.153173547655385,5.375463601301482,6.7290967227199925,6.736778178350974,7.075379402573548,5.784120472298006,6.544497375510685,8.382251607409366,9.141163516842706,9.272416422227046,9.323041398089805,9.360926524886796,9.442718245558378,9.360351576647131,9.447356690280436,9.530778508228304,9.721589612135189,10.283043434642286,7.0759118168368,7.408198281910345,7.547119303425381,7.989020119014836,10.838119954750992,7.612461833103031,8.989242315859576,8.917159221416727,10.133539015814547,10.705833929565506,10.705833929565506,11.72231638323297,11.81810893652007,12.168718681144542,12.316197396018817,12.322202880465914,12.559692629249497,12.602065137721135,12.386810405329639,12.366072161037668,12.986297830265919,7.909364046901203,5.415615903904671,5.941178608705675,8.882360228719275,9.744250542223535,16.486790176626354,8.754802727245544,8.905707112973925,7.750895614691121,9.62586174505469,10.692976315082943,8.279543272302703,15.42450368966764,12.863865602607026,12.513320764032251,12.848456822736184,13.15981256375046,13.177512288218283,13.51310312967384,13.665108949489536,13.762534301348568,13.467696150406297,13.79554271634619,15.234669101299295,13.366684934053346,13.406217746014532,13.414160834797409,13.414160834797409,13.53632669897093,13.730132459464661,13.395863032931354,13.726452483816077,14.108959499861967,13.765090226591822,13.852250424051237,13.811815231537565,13.778504775166658,13.824856700569573,13.772652660617732,13.782798365016307,13.892734090645114,14.008814518163964,14.020974855848854,14.09659177476535,14.061488493546415,14.151905034650376
11,4.191215451491153,3.2327592948429333,3.4104243282792357,0.0,4.0887882373564395,3.2851610823372406,3.2558555222662275,4.956817598593991,3.335127682993156,4.478541573698089,3.5198437694111906,3.628933878709044,3.9095329874478044,4.491202118377558,4.1475384977546765,4.73876954912052,4.576271283599412,5.014913616048207,7.7443060595507704,6.07180914222347,6.296418446924336,6.622723855759951,6.344654957500232,6.5053482756035175,5.591649844215537,5.88596158159937,6.209707282361539,6.038541550176247,6.124981374485463,6.22458769525108,6.2373122030707036,6.302351452588059,6.302351452588059,6.357898555050763,6.491035643008057,6.621526005712616,6.72267071804455,6.605345756716905,6.62434557163279,6.7956082654623655,8.583859474280874,11.118121428920286,4.715852490295461,4.6592651129025064,4.6592651129025064,6.2463006497606175,6.933903533401765,7.061115326605104,8.888206218226534,5.665841266580745,5.665841266580745,5.836595556649492,6.767283065978543,6.81503103254986,6.851879768830674,6.890710950354258,6.244866171554983,6.244866171554983,6.3628737565126885,6.544201991080969,7.6949137847095646,7.7016326012482414,7.9994980985716655,6.88382195498493,7.534016809884077,9.175679155898226,9.873793861771105,9.995430382877899,10.042410989556537,10.077593082232541,10.153613216488845,10.077059577476769,10.15792714214144,10.235559104801151,10.413464929399721,10.939465892285675,7.999966736911946,8.295322045080662,8.419617649563673,8.81790150329133,11.462799708679999,8.47823715521064,9.733314653636718,9.6667810877268,10.79905309120438,11.337804560863471,11.337804560863471,12.302179453429568,12.393490716578354,12.72826108392626,12.869329131000548,12.875076900147732,13.102549777958268,13.143171675130073,12.936923337241145,12.917068569806215,13.5120261986764,8.74579875679997,6.577223731049584,7.016305705772079,9.634690463842205,10.43462332741663,16.90399860954583,9.517221201895326,9.656217603216245,8.602751070067754,10.324154330586957,11.325663981505315,9.081947945894804,15.869664074126073,13.394400663943415,13.05810466112187,13.379602072076167,13.6788738222423,13.695902489582767,14.019089793542873,14.165666770723078,14.259672691377869,13.975327053642918,14.291532947533753,15.68521767408258,13.878010806346767,13.916090783521737,13.923743139206994,13.923743139206994,14.041476820245336,14.228403065426866,13.906116190059675,14.22485173171908,14.594302205768246,14.26213956579706,14.346280543443603,14.307241133895113,14.275086956295262,14.319831449118604,14.26943822837184,14.279230726445713,14.38537349433435,14.49750992021773,14.509260691385203,14.58234583227489,14.548414652857733,14.63582330241872
8,3.9268507377347333,2.802000242517243,2.9565921556596075,4.0887882373564395,0.0,2.8544537044047504,2.828430768319634,4.7255167817886,2.930519802891331,4.20246562882283,3.1463656760611958,3.2752987580409445,3.591576751811731,4.223080068333136,3.8545079411988277,4.494065753694169,4.319815759528275,4.788116128157732,7.6122020571063285,5.895692878142257,6.127844395086929,6.4639331092235786,6.175632383812279,6.34123956846303,5.39563456239144,5.702937199664146,6.039090879236807,5.861498954030615,5.951108478818845,6.054200805118764,6.067359362956857,6.134573217538137,6.134573217538137,6.191930353883832,6.329226443337728,6.463565724285806,6.567521504573572,6.446926348025714,6.466473028120074,6.642449831182918,8.473583651094232,11.04193562119293,4.302426625317978,4.240326141068088,4.240326141068088,5.940366533935777,6.65963255591688,6.791983304740751,8.675938728585116,5.326671494126998,5.326671494126998,5.507950277109856,6.485971361074808,6.535775359363101,6.574189711391618,6.6146510097440885,5.938858699477068,5.938858699477068,6.062825458353639,6.252860904775267,7.448718638045503,7.45565920909099,7.7629684296785255,6.607473885857187,7.282384075366206,8.970220313226362,9.683159540919595,9.807160949964903,9.855039185428181,9.890887605476777,9.968331755188654,9.890343922615353,9.972725811655524,10.051788301449452,10.232889525909837,10.767715507800647,7.763453120543639,8.067471807342763,8.19522412844807,8.603901907990105,11.299006258523248,8.255438145918868,9.53987397280504,9.47198193685133,10.625034034051371,11.17218064579497,11.17218064579497,12.149709502066946,12.242158128998813,12.58095611362091,12.723657516665856,12.72947100487401,12.959499906893473,13.000568924419431,12.792021519116382,12.771941438218954,13.373357294708008,8.529991290729393,6.287412674269128,6.745387594610441,9.43922887957925,10.254421589682034,16.793363353748926,9.319296243409186,9.461201109121244,8.38326200007869,10.1419898911833,11.159860091151064,8.874319597836257,15.751765670415047,13.254501889026283,12.914563522032934,13.239547185434187,13.541914521581582,13.55911525611218,13.885486780313201,14.033459417921707,14.12834505083558,13.841301578634072,14.160500817748014,15.565922374013795,13.74303632840323,13.781489347832432,13.789216378029547,13.789216378029547,13.908088810201967,14.096784084715999,13.771417168038193,14.093199644334042,14.466012884421424,14.130834863786397,14.215753016830222,14.17635424924064,14.143902475347653,14.189060701602623,14.138201386157624,14.148084769993467,14.255204041542378,14.368356445232823,14.380212757429403,14.453950456423778,14.419717140232352,14.507901249814896
NC_023738,3.358942813966684,1.4539286291049682,1.4074330295888335,3.2851610823372406,2.8544537044047504,0.0,1.4575985117283208,4.387005894095266,1.7939866504748343,3.6553817182510513,2.20937969887181,2.4659977673684152,2.9479010327553268,3.741693477462191,3.3103673578687673,4.118137919309838,3.905392478907776,4.468424178480523,7.516042626636777,5.717844610244574,5.965529548840578,6.320285905541023,6.000579006597882,6.1758782052888925,5.166412822987808,5.509502389291002,5.877322914855648,5.683161486301113,5.7802950792909815,5.891342144271129,5.905470429680543,5.977462234259341,5.977462234259341,6.038727215476063,6.18470089457979,6.326702745204219,6.435850930768865,6.3092076901617755,6.329822471339767,6.5145558066912015,8.455059017659897,11.095068990239472,2.964915784923966,2.8740619717862828,2.8740619717862828,5.0564596850018715,5.884770402842773,6.034140494065997,8.096402365996642,4.3189414367936445,4.3189414367936445,4.540630658705011,5.6874975013322455,5.744230657514583,5.787901546321423,5.833817708680728,5.054686646150945,5.054686646150945,5.199775648227679,5.420154910876827,6.764851973152897,6.772492951136419,7.109393542448808,5.825678181040093,6.5812556262110995,8.410983938306057,9.167517768299602,9.298398646261603,9.348882918991238,9.386663866777239,9.468233258008874,9.386090561619138,9.472859221002734,9.55605841119051,9.74637474033984,10.306478494054755,7.109923979505146,7.440691958920073,7.579017332405683,8.0191606265172,10.860356831845255,7.644087523570531,9.016040929111291,8.944173834319125,10.157319553569893,10.728346169980798,10.728346169980798,11.742880294719106,11.838506456188206,12.18852956514766,12.335771461834431,12.34176745394038,12.57888792711005,12.621195934761715,12.40627307528205,12.385567441747195,13.004863515064743,7.939807645295477,5.459978483740151,5.981645093532937,8.909480348291098,9.76897881696491,16.501418826534305,8.782316702275306,8.932756342336045,7.7819589995134315,9.650893347523777,10.71551558799652,8.308630921474094,15.440138868251658,12.88260822788635,12.532587433070962,12.86722185923479,13.17813440613541,13.195809529391184,13.530946702102444,13.682754291617714,13.780054919858463,13.485599808889777,13.813021486144706,15.250498847514423,13.384723643789917,13.424203307754066,13.432135777310874,13.432135777310874,13.554139736137895,13.747694366328018,13.413862526214796,13.744019068588086,14.12605055073566,13.782607612866064,13.8696577767152,13.829273416182644,13.796005124259914,13.84229844409674,13.79016040490192,13.80029321460957,13.910090742123941,14.026027550952367,14.03817298173081,14.113697776132943,14.078637139261458,14.16894425908743
MH001449,3.1798021841619266,1.3486651861572487,1.4988140306291915,3.2558555222662275,2.828430768319634,1.4575985117283208,0.0,3.9757132063443503,1.5338237473491487,3.3600625465842473,1.902594387777947,2.097813806103359,2.552920346853707,3.377120042912214,2.904467013239791,3.700235614388077,3.4896373385923134,4.047960253502449,7.1564893407417145,5.301519708617858,5.557376764652954,5.924558803192034,5.6119263546384754,5.79299642721505,4.743917543135805,5.087582112666512,5.458950018601843,5.263389152109642,5.362353255224299,5.475864678940545,5.4903281813094855,5.564114009480307,5.564114009480307,5.626961225225571,5.776985686526198,5.923241800295439,6.0361081585654945,5.905146696615696,5.9263936615689845,6.117244248493056,8.057733777359829,10.71734304277028,3.2676691285286377,3.185460669606879,3.185460669606879,5.239721614547101,6.042964716075755,6.188517782698751,8.212102097484667,4.532125491039397,4.532125491039397,4.743863502924448,5.851027444596878,5.906188887815202,5.9486705482811955,5.993355733269148,5.238010775047558,5.238010775047558,5.378156380756283,5.591509668515716,6.902905819778815,6.910394396047627,7.240881856643248,5.98543356461361,6.723080819462517,8.522412174921692,9.269856148934116,9.399311832207804,9.44925686568606,9.486638460848539,9.567355441387999,9.486071419831692,9.571933537440055,9.654278856086544,9.842696472322896,10.397612438039767,7.241401035710494,7.566424240703088,7.702491597593654,8.135957614519002,10.94688105782765,7.766526450236377,9.120079049926396,9.049038017421877,10.249779441263152,10.81592554039994,10.81592554039994,11.822946368701999,11.917930027412336,12.265686825413033,12.412013394022729,12.417972685794597,12.653665321738691,12.695723894345054,12.482084361723858,12.461504794990498,13.0772051108514,8.05775472072435,5.630121625289434,6.137341634517389,9.014748355401487,9.865079290987707,16.55849078924054,8.889090578525625,9.037752788621775,7.902262186820575,9.748158104003016,10.80319874183303,8.421413331164487,15.501118784811137,12.955632276349938,12.60763859261414,12.940332364307299,13.249529529776582,13.267109426900683,13.600489800912644,13.751529534954516,13.848346963676873,13.555375621054928,13.88115133212604,15.312233859584943,13.455022493083781,13.494296346915828,13.50218768738385,13.50218768738385,13.623564556797579,13.816146397855686,13.484009500364966,13.812489207791147,14.192677821053854,13.850887076928329,13.937510878473105,13.897323498526493,13.864218572415018,13.910284819521667,13.858402516657438,13.868485372547996,13.977747373497648,14.093127590802428,14.10521524532318,14.180382969373179,14.14548762271521,14.235370608522826
3,4.0006757264899155,3.864793718292812,4.470454860437902,4.956817598593991,4.7255167817886,4.387005894095266,3.9757132063443503,0.0,3.220801377253544,3.0939649653153256,2.906107849845145,2.417534733981474,1.996264245643376,2.3366892730986506,1.7545250507329138,1.5234139479097646,1.5373308115526148,1.5758997231043057,4.860896192279441,2.464526169502302,2.8142168571813726,3.314368252366727,3.172111896901281,3.400989419329394,1.925363116806095,2.1890791137949894,2.5524658759683527,2.368775945595361,2.482474728370833,2.619409176491276,2.6372022850890624,2.7292895321566664,2.7292895321566664,2.8084059263656918,3.0008501379731696,3.1918865740522926,3.345012370232005,3.167154919163155,3.19503322183492,3.4506847228918107,5.192379363255586,7.958918612729666,6.463804818142466,6.422631834493818,6.422631834493818,7.65232076249869,8.22318829218609,8.330736371665408,9.926834395278961,7.186340850452951,7.186340850452951,7.3217242107240725,8.083193657657244,8.123205160038204,8.15414263095644,8.18680231798644,7.651155131265968,7.651155131265968,7.747772999416374,7.897368080228126,8.874320806281231,8.880148677824979,9.139688340389137,8.181005880044179,8.735175880812143,10.1850443170519,10.818218014975242,10.929347494000645,10.972329585606868,11.004541434937959,11.07419995486142,11.0040542196256,11.078155634194816,11.14938161856702,11.312928000103845,11.798897246260553,9.140097470007987,9.399699943016586,9.509569780518563,9.863941091914851,12.285673615311314,9.56150883098772,10.690158361745572,10.629614936115,11.668833910120878,12.169140036435401,12.169140036435401,13.072328762328592,13.158296373762187,13.474078872717275,13.607417239425875,13.612854082335705,13.828197199462313,13.866692063716748,13.671362702384728,13.652576644503766,14.216788138245828,9.799542678591267,7.924753628345215,8.292789753738191,10.600440279293371,11.332410514953246,17.47248020402824,10.493786277597774,10.620008305220662,9.672089926850674,11.23077600890779,12.157828953966574,10.100684329091653,16.47387784051222,14.105044616556919,13.786091525831775,14.090990658975551,14.375461984107407,14.391665796486066,14.69956511565974,14.839421525155679,14.929185884253585,14.657834468833721,14.959620445724237,16.296270452764976,14.565078128562087,14.601365585009013,14.608659322976681,14.608659322976681,14.720918110115468,14.899321518332451,14.591860557284178,14.895929510154533,15.24913138656594,14.931542323389971,15.011932588664983,14.97462731739183,14.943909582444684,14.986657081511614,14.938513071786936,14.947866686853425,15.049295393506078,15.156520675324401,15.167760941410133,15.23768814749435,15.20521941979493,15.288873372247936
KY798216,3.0281761446241107,1.4788463809222723,1.8579919175778363,3.335127682993156,2.930519802891331,1.7939866504748343,1.5338237473491487,3.220801377253544,0.0,2.984245037636144,1.5454109249713306,1.604190858172523,1.9973801924527552,2.8767794856133513,2.3260072965881653,3.0994676768527536,2.8925409804666895,3.443099225214332,6.653824678984754,4.705612469107767,4.97562518597857,5.363774001085869,5.063224430324026,5.253813554363164,4.136577885795749,4.481731438585558,4.859638984331521,4.661478471196956,4.763702596790337,4.881542926568633,4.896591166492931,4.9734927105101825,4.9734927105101825,5.039070775998873,5.196022209781492,5.349469236178863,5.468562098266137,5.330364552650403,5.352675071238963,5.5537409612277155,7.493765685307231,10.183493712616562,3.7823182472966415,3.7115248124931517,3.7115248124931517,5.575216588896121,6.336071207734803,6.475039068774212,8.430125083832289,4.916148240109631,4.916148240109631,5.112006111006312,6.15328592551186,6.205759784090886,6.246203853329095,6.288776111131781,5.5736107463495825,5.5736107463495825,5.705518992845267,5.907060677121871,7.1609014902454735,7.1681209114645394,7.48724153335686,6.28122676431641,6.987719238045411,8.732695703331371,9.463545884318604,9.590387132597966,9.639342087490581,9.675989933933256,9.755140233841075,9.675434324593745,9.759630301202797,9.840405013946237,10.025325710511055,10.570658572781042,7.487744072114476,7.8025134397126585,7.934532739482406,8.355970241194564,11.111375256820171,7.996709973134202,9.316883687506376,9.247354585645146,10.425280932442641,10.982383950681438,10.982383950681438,11.975415613303838,12.06919935322954,12.412719136272004,12.557332534956624,12.563223063414355,12.796240979927932,12.837832133926184,12.626597106991918,12.60625359018592,13.215212056784715,8.279847382021945,5.943623032584277,6.426145711858774,9.213803140127014,10.04730307188712,16.66769988159191,9.090896915115392,9.23631147675198,8.128603730629395,9.9325271714163,10.969850168669598,8.634157229323268,15.617723591436008,13.094921776995154,12.750729301616353,13.079784449313557,13.385761312909656,13.403162378280975,13.733240778646161,13.882836188218453,13.97874430335716,13.688564182708994,14.011243424400023,15.43026585141926,13.589194408609632,13.628081436604363,13.635895434158504,13.635895434158504,13.756093040409509,13.94684480799377,13.617895908686654,13.943221757779282,14.319940293610076,13.981260777658209,14.06708197104078,14.027265493154475,13.994468040517452,14.040106885030344,13.988705978120514,13.998694850589358,14.106948657822768,14.22128072970352,14.233259560634615,14.307754646347465,14.27317068696883,14.362254609915816
9,3.873770812050122,3.2854970114069113,3.7191913615064314,4.478541573698089,4.20246562882283,3.6553817182510513,3.3600625465842473,3.0939649653153256,2.984245037636144,0.0,2.7717889139471374,2.630301295632828,2.6866982191153563,3.247561078191526,2.80106595074494,3.217784078965397,3.090514113498307,3.4484265365077094,6.361465742946953,4.460621453728202,4.716930466281064,5.093092760650067,4.853787629530234,5.036682401922287,3.9716106263978697,4.254925410375936,4.584616489498385,4.41213065987876,4.504443873976305,4.612739202739203,4.6266862488136935,4.698404654795952,4.698404654795952,4.759953237102065,4.908880170259713,5.05638159374929,5.172756518581672,5.037747410103776,5.059294816342822,5.255573273761585,7.03117862056339,9.652988633427725,5.460169000207684,5.411367975747871,5.411367975747871,6.82573192027209,7.46012064699256,7.578504961356584,9.304547973249118,6.298896219118448,6.298896219118448,6.452922868956058,7.305515711208321,7.34976510193594,7.383944878209866,7.4199937155431,6.824422577675142,6.824422577675142,6.932571990015576,7.0993648563274645,8.172277963487396,8.178605344564497,8.459694422395591,7.413597031195663,8.02096287803647,9.579542549677269,10.250188085036388,10.367408877560441,10.412711096551,10.446647370817557,10.520000838292393,10.446133399690485,10.524164698734616,10.599114378779928,10.77101811944367,11.280358327330148,8.460137909610038,8.73995836108315,8.858016108291068,9.237416979023443,11.788566654742327,8.913753274623476,10.114938849692365,10.050931550179362,11.144243661229646,11.667066729703981,11.667066729703981,12.606278691997952,12.6954027830428,13.022414601329267,13.160329986534373,13.165951070899212,13.388483562541628,13.428239802584207,13.226437143665274,13.207017907282296,13.789471692807998,9.168617059822163,7.129815865345169,7.536772776425998,10.020071624975584,10.791477925491824,17.126586669538504,9.907172322801127,10.040771805638236,9.03226695783497,10.684699106675609,11.65526886334593,9.489801473113495,16.106552989052,13.674235264198082,13.344991246814336,13.659739059536555,13.953004582710687,13.969698778052013,14.286694453582014,14.430553231939863,14.522844836377818,14.243754070396404,14.554129084801472,15.924849986302196,14.148283756419934,14.185637859697442,14.193145058192579,14.193145058192579,14.308663185456714,14.492143085904633,14.175853481524417,14.488656093134573,14.851546345633022,14.525267116962633,14.607892976515432,14.569553907779236,14.537980090679712,14.581917796785737,14.53243320789648,14.542048329168194,14.64628713333482,14.756441064363678,14.767985828144843,14.839796900168464,14.806455688205055,14.89234984486006
